ID,Title,Parent_ID,Count,query,brand_ids,category_ids,color_ids,desired_number_of_items,url,Taille 44 🇮🇹,Gris,Lumineux ⬜️,Militaire 🪖,de 16 à 49€ 😏,Texturé,Uni,Taille S,Taille M,Taille XS,Bleu,Sombre ⬛️,Formel,Casual ✌🏻,carreaux,motifs,Beige,de 50 à 99€ 🫣,Vert,plus de 150€ 🥵,Croisé,Taille XL,Taille 36 🇬🇧,Taille 50 🇮🇹,Taille 40 🇬🇧,Lot,Taille 48 🇮🇹,de 100 à 150€ 😳,Taille 44 🇬🇧,Taille 54 🇮🇹,Taille L,Marron,Velour,Mat,Rayures,Taille 38 🇬🇧,Taille 52 🇮🇹,Taille 42 🇬🇧,Camel,Taille 46 🇮🇹,Taille XXXL,King size,moins de 15€ 😍,Taille 47 🇮🇹,Taille 37 🇬🇧,Rouge,Blanc,Denim,Taille 40 🇮🇹,Taille 56 🇮🇹,Taille XXL,Taille 58 🇮🇹,Noir,Brillant,Pointure 42 🇫🇷,Pointure 44 🇫🇷,Pointure 41 🇫🇷,Pointure 38 🇫🇷,Pointure 40 🇫🇷,Pointure 45 🇫🇷,Pointure 39 🇫🇷,Pointure 43 🇫🇷,Multicolore,uni,Orange,Jaune,Rose,Pointure 49 🇫🇷,W32 🇺🇸,L34 🇺🇸,W31 🇺🇸,L30 🇺🇸,W29 🇺🇸,W34 🇺🇸,L32 🇺🇸,W30 🇺🇸,W33 🇺🇸,W36 🇺🇸,W40 🇺🇸,L29 🇺🇸,W35 🇺🇸,Taille 42 🇫🇷,Texte,Violet,bla,vintage dressing,noir,rouge,Carreaux,Motifs,bleu,multicolore,orange,vert,blanc,beige,rose,turquoise,bleu clair,jaune,doré,marine,gris,marron,crème,bordeaux,kaki
32960014,"Vestes, blazers et costumes",,108, ,"[14803,7119]",[32],"[3, 12, 20, 4, 9, 2, 27, 16]",150.0,https://www.vinted.fr/catalog?search_text= &color_ids[]=3&color_ids[]=12&color_ids[]=20&color_ids[]=4&color_ids[]=9&color_ids[]=2&color_ids[]=27&color_ids[]=16&catalog[]=32,1,16,25,10,35,17,66,7,97,1,35,74,104,4,22,29,6,22,2,3,4,2,6,12,12,4,31,12,3,3,12,9,8,8,7,25,3,3,10,5,1,1,7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32959999,Veste de travail,,8,,"[104, 14803, 7119, 1153]",[2538],"[12, 20, 4, 21, 11, 22, 7, 23, 5, 25, 9, 27, 10, 28, 16, 2, 29]",200.0,https://www.vinted.fr/catalog?search_text=&color_ids[]=12&color_ids[]=20&color_ids[]=4&color_ids[]=21&color_ids[]=11&color_ids[]=22&color_ids[]=7&color_ids[]=23&color_ids[]=5&color_ids[]=25&color_ids[]=9&color_ids[]=27&color_ids[]=10&color_ids[]=28&color_ids[]=16&color_ids[]=2&color_ids[]=29&catalog[]=2538,0,0,1,1,2,0,4,1,1,0,1,3,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32969378,Velours côtelé,,1,Coste,"[14803, 50335, 10, 1153]",[34],"[20, 4, 9, 27, 16, 29, 2]",150.0,https://www.vinted.fr/catalog?search_text=Coste&color_ids[]=20&color_ids[]=4&color_ids[]=9&color_ids[]=27&color_ids[]=16&color_ids[]=29&color_ids[]=2&catalog[]=34,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32959965,Sur-chemises et vareuses,,17, ,"[104, 14803, 10, 7119, 1153]",[2538],"[1, 12, 20, 4, 21, 11, 22, 7, 5, 6, 25, 9, 27, 28, 16, 2, 29, 8]",150.0,https://www.vinted.fr/catalog?search_text= &color_ids[]=1&color_ids[]=12&color_ids[]=20&color_ids[]=4&color_ids[]=21&color_ids[]=11&color_ids[]=22&color_ids[]=7&color_ids[]=5&color_ids[]=6&color_ids[]=25&color_ids[]=9&color_ids[]=27&color_ids[]=28&color_ids[]=16&color_ids[]=2&color_ids[]=29&color_ids[]=8&catalog[]=2538,0,0,7,1,2,0,15,1,1,0,2,8,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33003407,Sneakers,,1,,,,,,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32959477,Pantalons taille haute,,65,Lana,[14803],[34],"[3, 12, 20, 4, 26, 9, 27, 28, 16, 2, 29]",200.0,https://www.vinted.fr/catalog?search_text=Lana&color_ids[]=3&color_ids[]=12&color_ids[]=20&color_ids[]=4&color_ids[]=26&color_ids[]=9&color_ids[]=27&color_ids[]=28&color_ids[]=16&color_ids[]=2&color_ids[]=29&catalog[]=34,0,15,2,5,9,2,56,1,16,2,5,43,61,38,1,2,0,0,2,0,0,11,0,6,0,0,10,0,0,9,16,3,0,0,1,0,6,0,0,1,0,1,24,0,0,0,0,0,1,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32982879,Mocassins,,41,,,,,,,0,0,0,0,36,0,0,0,0,0,0,36,31,30,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,35,7,4,11,2,6,3,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32960005,"Manteaux, pardessus & vestes",,61, ,"[14803, 46805, 7119, 104, 1153]",[1206],"[3, 12, 20, 4, 26, 9, 27, 28, 16, 2, 29]",200.0,https://www.vinted.fr/catalog?search_text= &color_ids[]=3&color_ids[]=12&color_ids[]=20&color_ids[]=4&color_ids[]=26&color_ids[]=9&color_ids[]=27&color_ids[]=28&color_ids[]=16&color_ids[]=2&color_ids[]=29&catalog[]=1206,0,3,13,6,28,0,48,6,19,3,8,45,32,48,1,2,7,13,24,3,0,8,0,0,0,0,4,5,0,0,22,9,1,1,1,0,0,0,0,1,0,1,4,0,0,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32960385,Jeans,,3,,,,,,,0,0,0,0,1,0,1,0,1,0,1,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32960792,Gilets & doudounes ss manches,,4,,,,,,,0,0,0,0,1,0,4,3,1,0,1,4,2,3,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
